system_id,system_short,system,module_id,module,gene,w_g,role,confidence,w_g_source,anchor,evidence,citation,review_flag
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",AVP,1,driver-adjacent,medium,curated,TRUE,PI curated: vasopressin arm ligand,,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",AVPR1A,1,driver-adjacent,medium,curated,TRUE,PI curated: V1a social receptor,,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",AVPR1B,1,driver-adjacent,low,curated,FALSE,PI curated: V1b pituitary receptor,,low_confidence_signed
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",AVPR2,0,specificity-control,high,curated,FALSE,PI curated: renal Gs receptor; deliberately included as a negative control,,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",CPE,1,synthesis,medium,rule,FALSE,rule - precursor-processing protease: trims C-terminal basic residues to yield mature OXT/AVP,,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",LNPEP,-1,catabolism,high,literature,FALSE,oxytocinase/vasopressinase: LNPEP inactivates AVP and OXT (degradation-enzyme class),38452613;23889750,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",MAGEL2,1,accessory,low,literature,FALSE,Magel2-deficient mice have significantly reduced oxytocin neuron counts in caudal PVN,36458331;36998737,low_confidence_signed
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",OXT,1,driver,high,curated,TRUE,PI curated: the ligand,,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",OXTR,1,driver,high,curated,TRUE,PI curated: the receptor (0 usable probes in blood arm; check v3),,
1,oxytocin,"Oxytocin, vasopressin & CICR",1.1,"Oxytocin/vasopressin peptide biosynthesis, processing and receptors",PAM,1,synthesis,medium,rule,FALSE,rule - precursor-processing enzyme: obligate C-terminal amidation; unamidated OXT/AVP are inactive,,
