system_id,system,gene,gene_name,chr,n_probes,n_kept,usability,caution,gene_function
1,"Oxytocin, vasopressin & CICR",TRPM2,transient receptor potential cation channel subfamily M member 2,chr21,21,16,good,,"Plasma-membrane cation channel gated by ADP-ribose and by oxidative stress, providing the calcium entry that sustains the positive feedback loop. Its dual sensitivity makes it a convergence point for inflammation and oxytocin signalling."
1,"Oxytocin, vasopressin & CICR",AVPR2,arginine vasopressin receptor 2,chrX,16,13,good,X-linked: X-inactivation makes female values a two-allele average - analyse within sex or model sex explicitly,"Renal vasopressin receptor coupled to Gs and cAMP rather than to calcium, governing water reabsorption. Included as a within-family specificity control: a genuine social effect should NOT appear here."
1,"Oxytocin, vasopressin & CICR",OXT,oxytocin/neurophysin I prepropeptide,chr20,13,11,good,,"Encodes the oxytocin prepropeptide made in hypothalamic magnocellular neurons and cleaved to the nine-amino-acid hormone. Its promoter and intron 1 CpGs are studied as the supply-side counterpart to OXTR methylation, though peripheral expression is low."
1,"Oxytocin, vasopressin & CICR",NOS1,nitric oxide synthase 1,chr12,36,10,good,,"Neuronal nitric oxide synthase, activated by the calcium-calmodulin complex and producing the gaseous messenger that feeds back on oxytocin release. Couples CICR output to retrograde signalling."
1,"Oxytocin, vasopressin & CICR",RYR1,ryanodine receptor 1,chr19,56,9,good,,"Skeletal-muscle-type ryanodine receptor, the calcium release channel opened by cADPR downstream of CD38. Calcium released through it opens neighbouring RyR channels, making this a positive feedback loop in the strict sense: calcium triggering further calcium release."
1,"Oxytocin, vasopressin & CICR",AVP,arginine vasopressin,chr20,12,8,good,,"Vasopressin precursor, co-released with oxytocin and acting on partly overlapping receptors, generally with opposite valence for social vigilance. Its methylation is a classic readout of early-life stress in maternal separation models."
1,"Oxytocin, vasopressin & CICR",ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,chr12,26,7,good,,"SERCA2 pump, returning cytosolic calcium to the ER and refilling the store. Refill is what stops the positive feedback loop running to exhaustion, making oxytocin signalling oscillatory rather than a single decaying surge."
1,"Oxytocin, vasopressin & CICR",CACNA1C,calcium voltage-gated channel subunit alpha1 C,chr12,53,7,good,,"L-type voltage-gated calcium channel Cav1.2, whose depolarisation-driven calcium entry can itself ignite the RyR positive feedback loop. Also one of the most robust cross-disorder psychiatric GWAS loci."
1,"Oxytocin, vasopressin & CICR",OXTR,oxytocin receptor,chr3,19,7,good,,"The Gq-coupled oxytocin receptor; activation drives PLC to IP3 and ignites the calcium-induced calcium release positive feedback loop. Its MT2 region, especially the CpG at -934, is the most replicated methylation target in social behaviour research."
1,"Oxytocin, vasopressin & CICR",CAMK2A,calcium/calmodulin dependent protein kinase II alpha,chr5,18,6,good,,"Calcium/calmodulin kinase II alpha, the main decoder of calcium transients into lasting synaptic change through autophosphorylation. Where a calcium signal becomes a durable behavioural trace."
1,"Oxytocin, vasopressin & CICR",CD38,CD38 molecule,chr4,12,5,adequate,,"Ectoenzyme generating cyclic ADP-ribose, the messenger that opens ryanodine receptors and so switches on the CICR positive feedback loop; it is required for hypothalamic oxytocin release. Cd38 knockout mice show social amnesia that oxytocin rescues."
1,"Oxytocin, vasopressin & CICR",ITPR3,"inositol 1,4,5-trisphosphate receptor type 3",chr6,27,5,adequate,,"Type 3 IP3 receptor, biased towards initiating rather than sustaining calcium waves, so it governs how readily the loop starts. Completes the IP3 receptor trio feeding the CICR positive feedback loop."
1,"Oxytocin, vasopressin & CICR",MAGEL2,MAGE family member L2,chr15,20,5,adequate,,"Imprinted, paternally expressed gene whose loss reduces hypothalamic oxytocin production; mutations cause Schaaf-Yang syndrome with autistic features. Sits at the intersection of the oxytocin system and the imprinted-DMR literature."
1,"Oxytocin, vasopressin & CICR",ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,chr17,38,4,adequate,,"SERCA3, a lower-affinity pump expressed in non-muscle and immune cells, providing store refill in the tissues sampled in saliva and blood. The peripherally relevant SERCA isoform."
