probe,column,gene,system_id,system,input,requested_gene,best_direction,best_label,best_confidence,best_evidence,best_tier,best_expected_accuracy,direction_uncertain,best_direction_filled,best_direction_flipped,smr_direction,smr_tier,smr_p,smr_n_instruments,smr_gene_dist,smr_agreement,consensus_direction,n_tissues_calling,tissue_agreement,gene_blood,dir_blood,conf_blood,tier_blood,status_blood,gene_nasal,dir_nasal,conf_nasal,tier_nasal,status_nasal,gene_solid,dir_solid,conf_solid,tier_solid,status_solid,gene_universal,dist_universal,dir_universal,p_universal,agree_universal,dist_unanimous,dist_dir_blood,dist_dir_nasal,dist_dir_solid,measured_genes,measured_tissues,measured_direction,measured_direction_requested,annotation_mismatch,mismatch_note,note,p_conf,p_plus
cg00036871,cg00036871_TC11_T1_INHA,INHA,5,"HPG axis, puberty & KNDy",cg00036871,INHA,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,OBSL1,,0.9158,A,REQUESTED_GENE_UNAVAILABLE,OBSL1,,0.4326,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00039463,cg00039463_BC11_T1_CREBBP,CREBBP,20,Epigenetic machinery,cg00039463,CREBBP,,,,no_evidence,,,FALSE,,,,,,,,,,0,,DNASE1,,0.1077,B,REQUESTED_GENE_UNAVAILABLE,ADCY9,,0.31,A,REQUESTED_GENE_UNAVAILABLE,DNASE1,,0.0131,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00040455,cg00040455_BC21_T1_NR0B1,NR0B1,3,Steroidogenesis (adrenal & gonadal),cg00040455,NR0B1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00056257,cg00056257_TC21_T1_GRM7,GRM7,16,Glutamate & synaptic scaffolding,cg00056257,GRM7,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,PHF13,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00061695,cg00061695_TC21_T1_NLGN2,NLGN2,25,Social-synaptic & psychiatric risk,cg00061695,NLGN2,1,higher methylation -> HIGHER expression,,smr_moderate,A,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,1,1,1,S2,2.909e-13,1,4372,TRUE,,1,1,TNK1,,0.2712,A,REQUESTED_GENE_UNAVAILABLE,NLGN2,,0.0501,A,ABSTAIN,NLGN2,-1,0.4326,A,PREDICTED,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.85
cg00066816,cg00066816_TC21_T1_IL12B,IL12B,24,"Immune, inflammation & HLA",cg00066816,IL12B,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,SERAC1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00078348,cg00078348_TC21_T1_HTR3A,HTR3A,9,Serotonin,cg00078348,HTR3A,1,higher methylation -> HIGHER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,1,1,1,S2,2.111e-10,1,7832,TRUE,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.85
cg00082219,cg00082219_TC21_T1_FEV,FEV,9,Serotonin,cg00082219,FEV,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LOC285181,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,CYP27A1,,0.1453,A,REQUESTED_GENE_UNAVAILABLE,ZFAND2B,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00083700,cg00083700_BC11_T1_AANAT,AANAT,23,Circadian & melatonin,cg00083700,AANAT,,,,no_evidence,,,FALSE,,,,,,,,,,0,,AC079325.1,,0.0733,A,REQUESTED_GENE_UNAVAILABLE,RHBDF2,,0.3197,A,REQUESTED_GENE_UNAVAILABLE,CYGB,,0.1124,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00089566,cg00089566_TC21_T1_GRIN2C,GRIN2C,16,Glutamate & synaptic scaffolding,cg00089566,GRIN2C,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ARHGEF28,,0.0365,B,REQUESTED_GENE_UNAVAILABLE,NAT9,,0.139,B,REQUESTED_GENE_UNAVAILABLE,SLC16A5,,0.2414,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
